nombre,categoria,telefono,enlace_whatsapp,tipo_oportunidad,web_actual,ciudad,direccion,calificacion,total_resenas,maps_url
Il Pilonte Capital,Pizzería,+54 264 544-9513,https://wa.me/5492645449513,Usa instagram.com como web (Oportunidad Alta),http://www.instagram.com/ilpilonte/?hl=es,J5402DDQ,"Av. José Ignacio de la Roza Oeste 1598, J5402DDQ J5402DDQ, San Juan, Argentina",4.2,2667,https://www.google.com/maps/search/?api=1&query=Il%20Pilonte%20Capital&query_place_id=ChIJp8tC4UlAgZYRQyUsO4xUWTU
La Coqueta,Restaurante argentino,+54 264 439-9862,https://wa.me/5492644399862,Usa facebook.com como web (Oportunidad Alta),http://www.facebook.com/lacoqueta.sanjuan,Villa Basilio Nievas,"RP12, J5401 Villa Basilio Nievas, San Juan, Argentina",4.2,2555,https://www.google.com/maps/search/?api=1&query=La%20Coqueta&query_place_id=ChIJ66RvCIlIgZYRFh8zXUIqCfg
Vereda Sur,Restaurante,+54 264 470-9142,https://wa.me/5492644709142,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/Vereda-Sur-caf%C3%A9-resto-bar-362102090888759/,San Juan,"Av. Libertador Gral. San Martin Este & Antonino Aberastain Norte, J5400 San Juan, Argentina",4.2,1192,https://www.google.com/maps/search/?api=1&query=Vereda%20Sur&query_place_id=ChIJd8tQgYNqgZYRDwqU8sdrPT8
Carioca -Tienda de fiestas,Tienda de artículos de fiesta,+54 264 530-4579,https://wa.me/5492645304579,Usa facebook.com como web (Oportunidad Alta),http://facebook.com/cotilloncariocasanjuan/,San Juan,"Francisco N. Laprida Oeste 34, J5402 San Juan, Argentina",4.3,676,https://www.google.com/maps/search/?api=1&query=Carioca%20-Tienda%20de%20fiestas&query_place_id=ChIJu9ZpdIJqgZYR0oulIvtx7JY
Galana Eventos en San Juan,Salón para eventos,+54 264 451-2041,https://wa.me/5492644512041,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/galanaeventos?igsh=MXMyaTEzbjc0NTd3cw==,Santa Lucía,"Balcarce 200, J5411 Santa Lucía, San Juan, Argentina",4.5,544,https://www.google.com/maps/search/?api=1&query=Galana%20Eventos%20en%20San%20Juan&query_place_id=ChIJV-ThXRhrgZYRDhLlSdOXpus
El Refugio,Restaurante,+54 264 526-6726,https://wa.me/5492645266726,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/elrefugio_restaurante/,Santa Lucía,"Hipólito Yrigoyen Este 4942, J5411 Santa Lucía, San Juan, Argentina",4.3,445,https://www.google.com/maps/search/?api=1&query=El%20Refugio&query_place_id=ChIJE6Nu8SdrgZYROBON0J3T1mc
MOA Productora de Eventos,Organizador de eventos,+54 264 416-1374,https://wa.me/5492644161374,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/moa_eventos?igsh=NWsxdGk1a25yaWFk&utm_source=qr,J5400FJO,"Av. Argentina Nte. 126, J5400FJO J5400FJO, San Juan, Argentina",4.4,393,https://www.google.com/maps/search/?api=1&query=MOA%20Productora%20de%20Eventos&query_place_id=ChIJpVYnEY9qgZYRmZeaiKspSoE
Traykén,Salón para eventos,+54 264 414-0346,https://wa.me/5492644140346,Usa facebook.com como web (Oportunidad Alta),https://m.facebook.com/trayken/,J5400ANY,"San Luis Este 1067, J5400AMU J5400ANY, San Juan, Argentina",4.6,385,https://www.google.com/maps/search/?api=1&query=Trayk%C3%A9n&query_place_id=ChIJBenKDY9qgZYRvSjLP2vMJhc
El Almendro Sport,Polideportivo,+54 264 469-0420,https://wa.me/5492644690420,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/almendrosport__,Rivadavia,"Calle El Almendro 6300 (o, J5406 Rivadavia, San Juan, Argentina",4.7,345,https://www.google.com/maps/search/?api=1&query=El%20Almendro%20Sport&query_place_id=ChIJHeI-9LRBgZYRMqXBb2sN-II
Nepó Salón de eventos,Salón para eventos,+54 264 507-3253,https://wa.me/5492645073253,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/eventosnepo/,DNA,"Av. España Nte. 79, J5400 DNA, San Juan, Argentina",4.5,335,https://www.google.com/maps/search/?api=1&query=Nep%C3%B3%20Sal%C3%B3n%20de%20eventos&query_place_id=ChIJt6HNADJAgZYRYLOvIx0-P4Y
