Nombre,Estado Web,Web o Red Actual,Teléfono,Link WhatsApp,Categoría,Rating,Total Reseñas,Dirección,Google Maps URL
Finca El Algarrobal,SIN_WEB,Ninguna,+54 264 465-0674,https://wa.me/5492644650674,Salón de bodas,4.4,49,"Ruta 150 La Puntilla S/N, J5460, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Finca%20El%20Algarrobal&query_place_id=ChIJ4Uz3leJdg5YRNaeHASvn7wc
Salón San Marino,SIN_WEB,Ninguna,+54 264 460-0536,https://wa.me/5492644600536,Recinto para eventos,4.4,349,"Colón Nte. 2007, J5411 Santa Lucía, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20San%20Marino&query_place_id=ChIJqXrVXUNqgZYRDkkLgbxxQiM
FÚTBOL Y PÁDEL JACHAL,SIN_WEB,Ninguna,+54 264 527-8508,https://wa.me/5492645278508,Centro de recreo,4.5,71,"Ruta Nacional 150, calle proyecta s/n, J5460, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=F%C3%9ATBOL%20Y%20P%C3%81DEL%20JACHAL&query_place_id=ChIJtd1h82Vng5YRJhU7J3LhVs0
VaBel salon de eventos,SIN_WEB,Ninguna,+54 264 504-7128,https://wa.me/5492645047128,Lounge,4.8,22,"Callejon el Abrojo, J5460 San Jose de Jachal, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=VaBel%20salon%20de%20eventos&query_place_id=ChIJfevA_8tng5YRMbXksVC4gjM
Milenios Salón de Eventos,SIN_WEB,Ninguna,+54 264 504-4038,https://wa.me/5492645044038,Salón para eventos,4.7,213,"Lateral de circunvalación 656 Norte Santa Lucía, J5400 San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Milenios%20Sal%C3%B3n%20de%20Eventos&query_place_id=ChIJo-7OxW1rgZYRpCqSUltpa9M
Galana Eventos en San Juan,SOLO_RED_SOCIAL,https://www.instagram.com/galanaeventos?igsh=MXMyaTEzbjc0NTd3cw==,+54 264 451-2041,https://wa.me/5492644512041,Salón para eventos,4.5,544,"Balcarce 200, J5411 Santa Lucía, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Galana%20Eventos%20en%20San%20Juan&query_place_id=ChIJV-ThXRhrgZYRDhLlSdOXpus
Cabañas y Salón de Eventos La Retirada,SIN_WEB,Ninguna,+54 264 572-9400,https://wa.me/5492645729400,Casa rural,4.8,26,"Ruta Nacional 150, Ruta Nacional 20 y, J5400, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Caba%C3%B1as%20y%20Sal%C3%B3n%20de%20Eventos%20La%20Retirada&query_place_id=ChIJYYosxo9vg5YRojeAdzFCjgM
Quinta Nazareno,SIN_WEB,Ninguna,+54 264 508-1514,https://wa.me/5492645081514,Salón para eventos,4.6,566,"Calle 8 y costa canal, Argentina",https://www.google.com/maps/search/?api=1&query=Quinta%20Nazareno&query_place_id=ChIJYdNm9jg_gZYRlP2tphvAe3s
Pileta Club Argentinos De La Florida,SIN_WEB,Ninguna,No disponible,,Sala de billares,3.9,49,"RP456, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Pileta%20Club%20Argentinos%20De%20La%20Florida&query_place_id=ChIJWzDU9Opng5YR519q0uhc8P4
Salón Los Morrillos,SIN_WEB,Ninguna,No disponible,,Salón para eventos,4.7,628,"San Juan Nte. 965, J5411 San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20Los%20Morrillos&query_place_id=ChIJ0VhTQf5qgZYRVqvrHLH5TN4
